gaze_az_deg,gaze_el_deg,median_abs_delta_po_deg,p90_abs_delta_po_deg,fraction_abs_delta_po_gt_threshold,median_signed_delta_po_deg,median_circular_variance_change,median_tuning_strength_change,median_abs_tuning_strength_change
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,1.5370574913870882,7.866404488794736,0.08,0.21743155867021358,-0.0016519981113664595,0.0016519981113664595,0.014583437035889435
1.0,0.0,3.0778527250061245,16.335733341511254,0.17666666666666667,0.36388062488552464,-0.0034837812597153794,0.0034837812597153794,0.029109482975212764
1.5,0.0,4.643222262359018,22.285350402525733,0.2866666666666667,-0.007784460285762407,-0.005793531114458295,0.005793531114458295,0.03852004845947937
2.0,0.0,6.7079252270722804,29.590817449017596,0.36333333333333334,0.1700821568180828,-0.006375553205383855,0.006375553205383855,0.04897427405851912
2.5,0.0,8.538314906953232,33.829475641690124,0.42,0.23458301493562317,-0.003345536214222844,0.003345536214222844,0.058118884735648024
3.0,0.0,9.848634626259752,37.37723746388892,0.49333333333333335,0.7613825930520193,-0.001896220782650171,0.001896220782650171,0.06742989119865811
3.5,0.0,10.00049280972297,38.529217983472606,0.5,-0.1927748599679262,-0.0006342314945684824,0.0006342314945684824,0.0708523977635952
4.0,0.0,11.76931223896053,38.282537870548126,0.5366666666666666,-0.2412646590661467,0.0011406965110289935,-0.0011406965110289935,0.07428694758607973
4.5,0.0,12.419935286463897,38.78253948087267,0.5466666666666666,-0.35097519769550445,-0.002523799130393578,0.002523799130393578,0.07810627073189608
5.0,0.0,11.599626798626645,36.749700314926734,0.5466666666666666,-0.33921255356162305,0.0034952680436348693,-0.003495268043634925,0.08469197227720493
0.0,0.5,1.4753293023019864,8.158231868007105,0.09,-0.10465070812145427,0.0016291055892785344,-0.0016291055892785344,0.015965321385449094
0.5,0.5,2.385380826329083,12.03411714696107,0.14333333333333334,0.16474575584837936,0.0010231311177401614,-0.0010231311177401614,0.02356594532730716
1.0,0.5,3.887087302760065,19.008430095677042,0.21,0.37401416714399716,-0.00015449526601746255,0.00015449526601746255,0.034905107336964
1.5,0.5,5.581583075561753,23.217154572653193,0.29,0.4828360604130637,0.0002058780106525271,-0.0002058780106525271,0.044257960887801095
2.0,0.5,7.264072577141675,30.796719650601414,0.38,0.436520781611371,-0.00042481645327197004,0.00042481645327197004,0.04880130002972688
2.5,0.5,8.332332023203861,31.891530360310014,0.43333333333333335,0.7748841533229722,-0.002535062897678686,0.002535062897678686,0.05130752999186311
3.0,0.5,9.693874903681973,34.36614233200253,0.49333333333333335,0.3947196354374114,-0.0019541561234613924,0.0019541561234613924,0.06229575671331261
3.5,0.5,11.049311053694339,38.77961074385512,0.52,0.4755349688323349,-0.002280544643141258,0.002280544643141258,0.06402662721911212
4.0,0.5,11.897864106559823,37.892019451164344,0.5566666666666666,0.09802914133850038,0.002806777794893023,-0.002806777794893023,0.07853967980086252
4.5,0.5,11.764218872039123,37.928029377081174,0.5566666666666666,-0.15468213532764707,0.0006848261866724825,-0.0006848261866724825,0.08055462316866496
5.0,0.5,12.338092529276906,37.42378279710619,0.5733333333333334,-0.634265371379243,0.0013258527413027021,-0.0013258527413027021,0.08666189424609294
0.0,1.0,3.1270736288614955,16.99616451192313,0.21333333333333335,-0.21298784352164546,0.0026248162208399872,-0.0026248162208399872,0.027773547700306433
0.5,1.0,3.4057103310963015,17.014630630587426,0.21,0.09045868352794173,0.0010243192176889182,-0.0010243192176889182,0.0311118694982791
1.0,1.0,4.709120123591212,22.576575949293606,0.27,0.18690507100743758,-0.00015418448185738898,0.00015418448185738898,0.03938839383781928
1.5,1.0,5.863290805891879,24.9829515974156,0.33,0.37749316863610716,-0.00030184519517933994,0.00030184519517933994,0.04781156958136201
2.0,1.0,7.091773545916915,29.54987371044672,0.39,0.13993533217077925,-0.0019202206723342163,0.0019202206723342163,0.05358597163765361
2.5,1.0,8.46407520789549,32.549123548679844,0.44333333333333336,0.47876620274794845,-0.0008573632096540162,0.0008573632096540162,0.06220289371818233
3.0,1.0,9.279321994410736,34.68887502622553,0.48333333333333334,0.69240838964663,0.00043877850293128073,-0.00043877850293128073,0.06499328733862775
3.5,1.0,10.775987760720895,39.97808993547683,0.53,0.49422634963042356,-0.0036021274957769855,0.0036021274957769855,0.06733343906766676
4.0,1.0,11.646948030726136,37.19486324751102,0.5466666666666666,-0.09932141141752027,-0.002266238800909537,0.002266238800909537,0.07398641881573209
4.5,1.0,12.31456313465425,37.999678142452986,0.5733333333333334,-0.19438381155256934,-0.005258676049269717,0.005258676049269717,0.08207242436361312
5.0,1.0,12.921898403771472,38.06916255176404,0.5866666666666667,-0.19908004130078183,-0.0012788886731048277,0.0012788886731048277,0.08487440407629027
0.0,1.5,5.35402512381647,25.566640391584393,0.29333333333333333,-0.09304388997924207,0.005726031636466455,-0.005726031636466455,0.04251843519033599
0.5,1.5,4.97739932994741,28.363473606992198,0.31333333333333335,0.240308088301866,-0.0005728473447721427,0.0005728473447721427,0.043045964185289554
