drift_path,drift_deg,gaze_az_deg,gaze_el_deg,median_abs_op_shift_deg,p90_abs_op_shift_deg,fraction_abs_op_shift_gt_threshold,median_signed_op_shift_deg,median_circular_variance_change,median_tuning_strength_change,median_abs_tuning_strength_change,population_response_correlation,median_per_neuron_response_change,median_relative_response_change,fraction_large_response_change,rdm_similarity_to_baseline,image_discriminability,shifted_image_discriminability
azimuth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8202651977928034,0.8202651977928034
elevation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8202651977928034,0.8202651977928034
diagonal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8202651977928034,0.8202651977928034
azimuth,1.0,1.0,0.0,2.0340791558047187,8.334815272414986,0.08125,0.11700698471761939,0.0013306939110507843,-0.0013306939110507843,0.019106084384384492,0.9461446922843829,2.2015724967549666,0.37590965330064063,0.34375,0.96999434220757,0.8202651977928034,0.7936089881536992
elevation,1.0,0.0,1.0,2.655844004320919,12.758471251731716,0.15,0.1788384043555311,-0.002233991399535562,0.002233991399535562,0.02355763207106837,0.933544381564091,2.687995755535124,0.4248754126114746,0.4125,0.9653556220020607,0.8202651977928034,0.8120934671742841
diagonal,1.0,1.0,1.0,3.3608777904659064,13.74754482295877,0.20625,0.2849834594259235,-0.000687094239706254,0.000687094239706254,0.02662018155493756,0.9147572542659803,2.610031102297399,0.48852985498308243,0.4875,0.9160590646039584,0.8202651977928034,0.7986952560364016
azimuth,2.0,2.0,0.0,4.45205805740062,19.08119966025069,0.28125,-0.009877803043266908,0.0005411607806913854,-0.0005411607806913854,0.03221516299196403,0.8202391509870186,4.29032160322969,0.6610729195688958,0.70625,0.9365390835524224,0.8202651977928034,0.774347112895587
elevation,2.0,0.0,2.0,4.3163742495600985,28.428701947737014,0.2875,-0.17677070079813006,-0.002487695835022785,0.002487695835022785,0.040563881189360385,0.7675622497847292,4.40064992456708,0.7568343421778709,0.7875,0.8569944762868025,0.8202651977928034,0.8223222626337785
diagonal,2.0,2.0,2.0,6.963942281550345,38.71105242959743,0.40625,0.4282382126774422,-0.001142085627123035,0.001142085627123035,0.054506970535438515,0.7250046010726311,4.830093792661504,0.8120038541215773,0.85,0.7699255916047608,0.8202651977928034,0.7693571744695945
azimuth,3.0,3.0,0.0,6.483034441694464,30.675164453277098,0.36875,0.5074275846263561,0.0061205522786274,-0.0061205522786274,0.04385696013975354,0.6598296187203826,5.581853244839404,0.9379919041122642,0.85625,0.9340654866763305,0.8202651977928034,0.7866172071928262
elevation,3.0,0.0,3.0,5.168916437894779,37.67918609874278,0.35625,0.3571284601057272,-0.004662086606332716,0.004662086606332716,0.05474156513727685,0.5617381404551716,5.511675075331124,0.9471590884419607,0.9625,0.676777845975449,0.8202651977928034,0.8383029188897483
diagonal,3.0,3.0,3.0,8.091254896515856,36.94538245840964,0.4625,1.794913380027225,-0.009116868069534712,0.009116868069534712,0.061215808784463754,0.4473384593108485,6.152783473891379,0.959275412921766,0.98125,0.37835872982300633,0.8202651977928034,0.7790773031658927
azimuth,4.0,4.0,0.0,8.394818301268288,35.45751043206491,0.4375,0.4158268154266409,-7.56579547712688e-05,7.56579547712688e-05,0.051609070357104714,0.49012080689671517,6.50504265301048,1.0083803876856494,0.93125,0.8932113728353842,0.8202651977928034,0.7907049518858583
elevation,4.0,0.0,4.0,8.354002930157094,34.00819453861559,0.45,1.3103012505159057,0.00238926776187226,-0.00238926776187226,0.06393936156632213,0.3617995807791393,6.158849574858906,1.003679720427566,0.99375,0.48604403855156947,0.8202651977928034,0.8679900384170939
diagonal,4.0,4.0,4.0,9.405544830989697,33.061181043541794,0.46875,0.962293569359943,-0.008314264265730065,0.008314264265730065,0.05636655282183184,0.15580717380124584,6.6912029241527335,0.9967433223305995,1.0,0.03210578131740484,0.8202651977928034,0.7966407837931336
azimuth,5.0,5.0,0.0,8.402341777586308,35.92063691112503,0.44375,0.9521717928920808,-0.0042907548900557035,0.0042907548900557035,0.0678371919091389,0.3149906289510506,6.8385764144534456,1.0409059751425105,0.9875,0.7979334160256392,0.8202651977928034,0.7975920096645519
elevation,5.0,0.0,5.0,10.531680512479063,36.61595876530315,0.53125,1.565936963550719,-0.0003111886073769443,0.0003111886073769443,0.05795867200181709,0.20347599805020847,6.263168001144951,1.0137323842689687,1.0,0.2446434397367899,0.8202651977928034,0.8971147361900755
diagonal,5.0,5.0,5.0,10.162156851698505,29.593884895498956,0.49375,1.8246053108267333,0.001686797412667751,-0.001686797412667751,0.06574433447911415,0.010351904593119238,6.952976382490416,0.9980174135937953,1.0,-0.014970917686104927,0.8202651977928034,0.7848471514856756
azimuth,6.0,6.0,0.0,8.854603987908476,40.323327008578225,0.475,1.1169218895845177,-0.0006677960707198172,0.0006677960707198172,0.08145940543616315,0.18116951081584,6.696232272311981,1.0234448199507125,1.0,0.6342137761735582,0.8202651977928034,0.8106124749939478
elevation,6.0,0.0,6.0,10.239749797115095,32.9196411863062,0.50625,0.7817981833615022,9.856209254133219e-05,-9.856209254133219e-05,0.06462148610765461,0.10314424247864959,6.302504355036101,1.036176133390132,0.99375,0.15096543586559572,0.8202651977928034,0.9058404712085425
diagonal,6.0,6.0,6.0,10.085948205685682,29.72475975236213,0.49375,1.0905573381658797,0.006978412230947306,-0.006978412230947306,0.07937305775397907,-0.06257264627392678,7.183760693047178,1.0151631790191353,0.99375,-0.02188518203243508,0.8202651977928034,0.7800724984440743
azimuth,7.0,7.0,0.0,9.794330602486767,40.02249946492168,0.49375,1.4187491164695203,-0.0014370761719574854,0.0014370761719574854,0.07825331721381307,0.09949356285304847,6.602338819248443,1.0106756846710931,1.0,0.5362263559390273,0.8202651977928034,0.8099281643253438
elevation,7.0,0.0,7.0,10.391557411506511,31.774418089917052,0.51875,-0.19379472365970685,0.005788207863270889,-0.005788207863270889,0.07688005199976317,0.034968413225110365,6.21272812554432,1.0301895600527429,0.9875,0.12686036722677008,0.8202651977928034,0.9091312884692144
diagonal,7.0,7.0,7.0,9.498592140544964,29.66084333158061,0.475,1.102310196059726,0.007107945534184368,-0.007107945534184368,0.07878499799352512,-0.1028869275293805,6.616818892222266,1.0542506872612694,1.0,0.024850161874210356,0.8202651977928034,0.7678485836714231
azimuth,8.0,8.0,0.0,12.385625866617097,38.02746863713109,0.53125,0.26471560144581474,-0.0006041660109386005,0.0006041660109386005,0.08699710003897027,0.06176084660136084,6.474731311041511,0.9943097741069508,0.99375,0.42950567301102177,0.8202651977928034,0.8074812542928058
elevation,8.0,0.0,8.0,11.65651749873193,32.18079070337965,0.525,1.0460124511990756,-0.0003965143553364969,0.0003965143553364969,0.09056863373967144,-0.03745828572256869,6.064725335855799,1.052313082843745,1.0,0.1613632303364365,0.8202651977928034,0.9054485548745755
diagonal,8.0,8.0,8.0,8.931324089353055,30.090927008873958,0.45625,2.110421426219922,0.005403367299102679,-0.005403367299102679,0.08655876267077195,-0.12698642792013143,6.205168504838663,1.034985328036715,1.0,0.12132063031452497,0.8202651977928034,0.7660442599766151
azimuth,9.0,9.0,0.0,11.469767458592372,36.24541942246494,0.575,2.0520337011318546,-0.012454551417753756,0.012454551417753756,0.08094933063449061,0.03381394041270505,6.310901971190168,0.9973552397856618,0.9875,0.21866335569128825,0.8202651977928034,0.8113704908949947
