scenario,baseline_label,path_label,max_orientation_error_deg,median_orientation_error_deg,max_patch_displacement_cm,mean_patch_displacement_cm
exact_distance_minus_5cm,centered,diagonal,9.947598300641403e-13,9.237055564881302e-14,1.396760791713108,0.5242463249433703
exact_distance_minus_5cm,centered,horizontal,3.126388037344441e-13,4.263256414560601e-14,1.2976727363406626,0.5262737208031419
exact_distance_minus_5cm,centered,vertical,3.126388037344441e-13,4.263256414560601e-14,1.297672736340663,0.5262737208031419
exact_distance_minus_5cm,mild_diagonal,diagonal,1.4779288903810084e-12,2.2737367544323206e-13,1.7315786719367223,0.7872600131410566
exact_distance_minus_5cm,mild_diagonal,horizontal,3.979039320256561e-13,1.1368683772161603e-13,1.59579737362638,0.7411428208810684
exact_distance_minus_5cm,mild_diagonal,vertical,9.663381206337363e-13,2.3447910280083306e-13,1.5957973736263795,0.7411428208810684
exact_distance_minus_5cm,mild_horizontal,diagonal,1.0231815394945443e-12,1.4210854715202004e-13,1.5715154610860191,0.6672566360630748
exact_distance_minus_5cm,mild_horizontal,horizontal,3.126388037344441e-13,4.263256414560601e-14,1.525296962791157,0.7056827098536128
exact_distance_minus_5cm,mild_horizontal,vertical,9.663381206337363e-13,1.1368683772161603e-13,1.3779763484396694,0.5697240487554583
exact_distance_minus_5cm,mild_vertical,diagonal,7.673861546209082e-13,1.8474111129762605e-13,1.5715154610860194,0.6672566360630748
exact_distance_minus_5cm,mild_vertical,horizontal,3.694822225952521e-13,1.1368683772161603e-13,1.3779763484396694,0.5697240487554583
exact_distance_minus_5cm,mild_vertical,vertical,3.126388037344441e-13,4.263256414560601e-14,1.5252969627911566,0.7056827098536128
exact_distance_minus_5cm,strong_diagonal,diagonal,2.0179413695586845e-12,2.4158453015843406e-13,2.078928708765837,1.0942171796630136
exact_distance_minus_5cm,strong_diagonal,horizontal,1.2221335055073723e-12,2.2737367544323206e-13,1.9145582151980693,1.0232042686009766
exact_distance_minus_5cm,strong_diagonal,vertical,1.1510792319313623e-12,2.4158453015843406e-13,1.9145582151980682,1.0232042686009766
exact_distance_minus_5cm,strong_horizontal,diagonal,1.5347723092418164e-12,1.9895196601282805e-13,1.7639321293411585,0.8541345618055803
exact_distance_minus_5cm,strong_horizontal,horizontal,7.673861546209082e-13,1.2789769243681803e-13,1.7609017682227133,0.9146559688492882
exact_distance_minus_5cm,strong_horizontal,vertical,1.0089706847793423e-12,1.6342482922482304e-13,1.490046295120418,0.690163841822398
exact_distance_plus_5cm,centered,diagonal,9.947598300641403e-13,9.237055564881302e-14,1.396760791713108,0.5242463249433704
exact_distance_plus_5cm,centered,horizontal,3.126388037344441e-13,4.263256414560601e-14,1.2976727363406633,0.5262737208031419
exact_distance_plus_5cm,centered,vertical,3.126388037344441e-13,4.263256414560601e-14,1.297672736340663,0.5262737208031419
exact_distance_plus_5cm,mild_diagonal,diagonal,1.4779288903810084e-12,2.2737367544323206e-13,1.7315786719367243,0.7872600131410566
exact_distance_plus_5cm,mild_diagonal,horizontal,3.979039320256561e-13,1.1368683772161603e-13,1.5957973736263804,0.7411428208810684
exact_distance_plus_5cm,mild_diagonal,vertical,9.663381206337363e-13,2.3447910280083306e-13,1.5957973736263806,0.7411428208810685
exact_distance_plus_5cm,mild_horizontal,diagonal,1.0231815394945443e-12,1.4210854715202004e-13,1.5715154610860205,0.6672566360630748
exact_distance_plus_5cm,mild_horizontal,horizontal,3.126388037344441e-13,4.263256414560601e-14,1.5252969627911577,0.7056827098536129
exact_distance_plus_5cm,mild_horizontal,vertical,9.663381206337363e-13,1.1368683772161603e-13,1.3779763484396703,0.5697240487554585
exact_distance_plus_5cm,mild_vertical,diagonal,7.673861546209082e-13,1.8474111129762605e-13,1.5715154610860202,0.6672566360630748
exact_distance_plus_5cm,mild_vertical,horizontal,3.694822225952521e-13,1.1368683772161603e-13,1.37797634843967,0.5697240487554583
exact_distance_plus_5cm,mild_vertical,vertical,3.126388037344441e-13,4.263256414560601e-14,1.5252969627911594,0.7056827098536128
