center_az_deg,center_el_deg,scenario,center_displacement_cm,max_orientation_error_deg,median_orientation_error_deg,orientation_error_horizontal_deg,orientation_error_oblique_45_deg,orientation_error_vertical_deg,jacobian_det,jacobian_scale_major,jacobian_scale_minor
-50.0,-50.0,exact_true_distance,7.944109290391274e-15,1.0743406164692715e-11,5.087485988042317e-12,1.0174971976084635e-11,2.5295321393059567e-12,0.0,1.0000000000002238,1.0000000000002112,1.0000000000000127
-47.5,-50.0,exact_true_distance,3.552713678800501e-15,1.8388846001471393e-11,7.638334409421077e-12,1.5234036254696548e-11,0.0,0.0,1.0000000000000462,1.0000000000002116,0.9999999999998346
-45.0,-50.0,exact_true_distance,3.552713678800501e-15,1.7564616427989677e-11,7.638334409421077e-12,1.5234036254696548e-11,1.2789769243681803e-12,0.0,0.999999999999913,1.00000000000013,0.9999999999997831
-42.5,-50.0,exact_true_distance,7.105427357601002e-15,5.3859139370615594e-12,2.5508484213787597e-12,5.087485988042317e-12,3.808509063674137e-12,0.0,0.999999999999913,1.0000000000000062,0.9999999999999067
-40.0,-50.0,exact_true_distance,0.0,1.8388846001471393e-11,7.631228982063476e-12,1.5262457964126952e-11,0.0,0.0,0.9999999999998685,1.0000000000001228,0.9999999999997458
-37.5,-50.0,exact_true_distance,3.552713678800501e-15,1.3230305739853065e-11,5.101696842757519e-12,1.0174971976084635e-11,1.1453948900452815e-11,0.0,0.9999999999998241,1.0000000000000542,0.99999999999977
-35.0,-50.0,exact_true_distance,0.0,2.5579538487363607e-12,1.7905676941154525e-12,0.0,2.5437429940211587e-12,0.0,1.0000000000000462,1.0000000000000675,0.9999999999999787
-32.5,-50.0,exact_true_distance,0.0,1.1453948900452815e-11,5.080380560684716e-12,1.0174971976084635e-11,1.2789769243681803e-12,0.0,1.0000000000001794,1.0000000000002007,0.9999999999999787
-30.0,-50.0,exact_true_distance,1.7763568394002505e-15,1.0317080523236655e-11,5.101696842757519e-12,1.0174971976084635e-11,6.366462912410498e-12,0.0,1.0000000000000018,1.0000000000000924,0.9999999999999094
-27.5,-50.0,exact_true_distance,0.0,5.172751116333529e-12,2.5437429940211587e-12,5.087485988042317e-12,1.9042545318370685e-12,0.0,0.9999999999999796,1.0000000000000355,0.999999999999944
-25.0,-50.0,exact_true_distance,3.66205343881779e-15,5.7411853049416095e-12,4.035882739117369e-12,0.0,5.7411853049416095e-12,0.0,0.9999999999998019,1.0000000000000009,0.999999999999801
-22.5,-50.0,exact_true_distance,3.66205343881779e-15,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.9999999999999574,0.9999999999999787,0.9999999999999787
-20.0,-50.0,exact_true_distance,3.552713678800501e-15,2.5579538487363607e-12,1.7905676941154525e-12,0.0,2.5437429940211587e-12,0.0,1.0000000000000462,1.0000000000000675,0.9999999999999787
-17.5,-50.0,exact_true_distance,0.0,5.158540261618327e-12,2.5437429940211587e-12,5.115907697472721e-12,3.183231456205249e-12,0.0,0.9999999999998019,0.9999999999999467,0.9999999999998552
-15.0,-50.0,exact_true_distance,3.66205343881779e-15,7.005951374594588e-12,4.931166586175095e-12,0.0,7.005951374594588e-12,0.0,0.9999999999996687,0.9999999999999565,0.9999999999997122
