term,coefficient,scenario,target,r_squared
intercept,6.601203595978771e-14,exact_true_distance,max_orientation_error_deg,
gaze_shift_magnitude_deg,-9.296048449029787e-15,exact_true_distance,max_orientation_error_deg,
gaze_shift_sq,1.5355979042441272e-15,exact_true_distance,max_orientation_error_deg,
session_index,-1.859209689806055e-14,exact_true_distance,max_orientation_error_deg,
effective_center_radius_deg,4.3613947737684544e-14,exact_true_distance,max_orientation_error_deg,
interaction_shift_radius,2.27628072943059e-15,exact_true_distance,max_orientation_error_deg,
intercept,4.058509367169894e-17,exact_true_distance,patch_mean_displacement_cm,
gaze_shift_magnitude_deg,-1.0869034391741188e-18,exact_true_distance,patch_mean_displacement_cm,
gaze_shift_sq,-2.26379870040242e-19,exact_true_distance,patch_mean_displacement_cm,
session_index,-2.173806878348821e-18,exact_true_distance,patch_mean_displacement_cm,
effective_center_radius_deg,1.3862602694123548e-17,exact_true_distance,patch_mean_displacement_cm,
interaction_shift_radius,8.783109505945554e-19,exact_true_distance,patch_mean_displacement_cm,
intercept,1.0393372998588613e-13,exact_distance_minus_5cm,max_orientation_error_deg,
gaze_shift_magnitude_deg,-6.229456639687105e-15,exact_distance_minus_5cm,max_orientation_error_deg,
gaze_shift_sq,-3.261356428444225e-15,exact_distance_minus_5cm,max_orientation_error_deg,
session_index,-1.2458913279375713e-14,exact_distance_minus_5cm,max_orientation_error_deg,
effective_center_radius_deg,2.390802912047531e-14,exact_distance_minus_5cm,max_orientation_error_deg,
interaction_shift_radius,6.298376865613363e-15,exact_distance_minus_5cm,max_orientation_error_deg,
intercept,0.17739996540786787,exact_distance_minus_5cm,patch_mean_displacement_cm,0.9966905110515578
gaze_shift_magnitude_deg,-0.002199151669117172,exact_distance_minus_5cm,patch_mean_displacement_cm,0.9966905110515578
gaze_shift_sq,-0.0012354747415466501,exact_distance_minus_5cm,patch_mean_displacement_cm,0.9966905110515578
session_index,-0.004398303338236891,exact_distance_minus_5cm,patch_mean_displacement_cm,0.9966905110515578
effective_center_radius_deg,0.06595882239456467,exact_distance_minus_5cm,patch_mean_displacement_cm,0.9966905110515578
interaction_shift_radius,0.0029523685397964167,exact_distance_minus_5cm,patch_mean_displacement_cm,0.9966905110515578
intercept,1.0393372998588613e-13,exact_distance_plus_5cm,max_orientation_error_deg,
gaze_shift_magnitude_deg,-6.229456639687105e-15,exact_distance_plus_5cm,max_orientation_error_deg,
gaze_shift_sq,-3.261356428444225e-15,exact_distance_plus_5cm,max_orientation_error_deg,
session_index,-1.2458913279375713e-14,exact_distance_plus_5cm,max_orientation_error_deg,
effective_center_radius_deg,2.390802912047531e-14,exact_distance_plus_5cm,max_orientation_error_deg,
interaction_shift_radius,6.298376865613363e-15,exact_distance_plus_5cm,max_orientation_error_deg,
intercept,0.17739996540786768,exact_distance_plus_5cm,patch_mean_displacement_cm,0.9966905110515578
gaze_shift_magnitude_deg,-0.0021991516691171713,exact_distance_plus_5cm,patch_mean_displacement_cm,0.9966905110515578
gaze_shift_sq,-0.0012354747415466419,exact_distance_plus_5cm,patch_mean_displacement_cm,0.9966905110515578
session_index,-0.004398303338236885,exact_distance_plus_5cm,patch_mean_displacement_cm,0.9966905110515578
effective_center_radius_deg,0.06595882239456469,exact_distance_plus_5cm,patch_mean_displacement_cm,0.9966905110515578
interaction_shift_radius,0.00295236853979641,exact_distance_plus_5cm,patch_mean_displacement_cm,0.9966905110515578
intercept,-0.08623119232259846,planar_no_correction,max_orientation_error_deg,0.8500555021929004
gaze_shift_magnitude_deg,-0.010967226137463553,planar_no_correction,max_orientation_error_deg,0.8500555021929004
gaze_shift_sq,-0.007779024030983339,planar_no_correction,max_orientation_error_deg,0.8500555021929004
session_index,-0.02193445227492595,planar_no_correction,max_orientation_error_deg,0.8500555021929004
effective_center_radius_deg,0.06260308696255003,planar_no_correction,max_orientation_error_deg,0.8500555021929004
interaction_shift_radius,0.015377392374866171,planar_no_correction,max_orientation_error_deg,0.8500555021929004
intercept,0.003702868420090165,planar_no_correction,patch_mean_displacement_cm,0.981252851433803
gaze_shift_magnitude_deg,-0.0008793313899664358,planar_no_correction,patch_mean_displacement_cm,0.981252851433803
gaze_shift_sq,-0.0006362074496391497,planar_no_correction,patch_mean_displacement_cm,0.981252851433803
session_index,-0.001758662779932927,planar_no_correction,patch_mean_displacement_cm,0.981252851433803
effective_center_radius_deg,0.0006005734989204593,planar_no_correction,patch_mean_displacement_cm,0.981252851433803
interaction_shift_radius,0.0012843182627929515,planar_no_correction,patch_mean_displacement_cm,0.981252851433803
