baseline_label,baseline_az_deg,baseline_el_deg,path_label,session_index,gaze_shift_az_deg,gaze_shift_el_deg,gaze_shift_magnitude_deg,effective_center_az_deg,effective_center_el_deg,effective_center_radius_deg,scenario,center_az_deg,center_el_deg,center_displacement_cm,max_orientation_error_deg,median_orientation_error_deg,orientation_error_horizontal_deg,orientation_error_oblique_45_deg,orientation_error_vertical_deg,jacobian_det,jacobian_scale_major,jacobian_scale_minor,patch_mean_displacement_cm,patch_median_displacement_cm,patch_max_displacement_cm,patch_mean_radial_error_cm,patch_mean_abs_tangential_error_cm,patch_max_abs_tangential_error_cm,patch_mean_normalized_error,patch_p95_displacement_cm,patch_corner_displacement_cm,patch_center_displacement_cm
centered,0.0,0.0,horizontal,0,0.0,0.0,0.0,0.0,0.0,0.0,exact_true_distance,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,1.0000000000000004,1.0000000000000002,1.0000000000000002,5.72926156272982e-17,1.3877787807814457e-17,2.482534153247273e-16,-1.2899129171815055e-17,2.6961103667143794e-17,2.2829272114827344e-16,6.718002972396541e-17,2.220446049250313e-16,2.220446049250313e-16,0.0
centered,0.0,0.0,horizontal,0,0.0,0.0,0.0,0.0,0.0,0.0,exact_distance_minus_5cm,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.44444444444444453,0.6666666666666667,0.6666666666666667,0.2740670620042495,0.2844201808984751,0.49506130429785533,-0.2740670620042495,2.1278999449519193e-17,2.220446049250313e-16,0.33313503866745986,0.4270088825046732,0.49506130429785533,0.0
centered,0.0,0.0,horizontal,0,0.0,0.0,0.0,0.0,0.0,0.0,exact_distance_plus_5cm,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,1.7777777777777781,1.3333333333333335,1.3333333333333335,0.27406706200424946,0.28442018089847493,0.4950613042978556,0.27406706200424946,4.1518815948230146e-17,4.163336342344337e-16,0.3331350386674598,0.4270088825046731,0.4950613042978556,0.0
centered,0.0,0.0,horizontal,0,0.0,0.0,0.0,0.0,0.0,0.0,planar_no_correction,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.9999988148164304,0.9999994074080396,0.9999994074080396,0.0011122447102203646,0.00089259512743767,0.004593909233150734,-0.0010521678417889473,0.00033468489158785484,0.0018059715432498205,0.0011022230379497439,0.0030154819925004603,0.004593909233150734,0.0
centered,0.0,0.0,horizontal,1,0.5,0.0,0.5,0.5,0.0,0.5,exact_true_distance,0.5,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.9999999999999998,1.0,0.9999999999999998,6.058155534014975e-17,5.551115123125783e-17,2.482534153247273e-16,2.7331845514914462e-18,3.042122911462165e-17,2.39154108487156e-16,7.450620742783186e-17,1.5700924586837752e-16,1.1102230246251565e-16,0.0
centered,0.0,0.0,horizontal,1,0.5,0.0,0.5,0.5,0.0,0.5,exact_distance_minus_5cm,0.5,0.0,0.04363433895379394,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.44444444444444453,0.6666666666666667,0.6666666666666667,0.2764285637897088,0.2861370457062112,0.5271148985505326,-0.2764285637897088,2.4893436674152605e-17,1.942890293094024e-16,0.33333333333333337,0.43914487252498685,0.4649977705876839,0.04363433895379394
centered,0.0,0.0,horizontal,1,0.5,0.0,0.5,0.5,0.0,0.5,exact_distance_plus_5cm,0.5,0.0,0.043634338953793955,1.4210854715202004e-14,0.0,0.0,0.0,0.0,1.7777777777777781,1.3333333333333335,1.3333333333333335,0.2764285637897088,0.28613704570621107,0.5271148985505327,0.2764285637897088,5.0136707529361804e-17,3.0531133177191805e-16,0.3333333333333333,0.43914487252498724,0.4649977705876841,0.043634338953793955
centered,0.0,0.0,horizontal,1,0.5,0.0,0.5,0.5,0.0,0.5,planar_no_correction,0.5,0.0,3.322961807133984e-06,0.0010908394569639768,0.0007684047959060081,0.0,0.0010908394569639768,0.0,0.9998845887645456,0.9999613305399003,0.9999232552569675,0.001157627022735374,0.0009165038445705152,0.00551180873608695,-0.0010969109029647015,0.0003423520313011575,0.0020781708723299755,0.0011267512429796976,0.0032052795258403076,0.0038383469305792615,3.322961807133984e-06
centered,0.0,0.0,horizontal,2,1.0,0.0,1.0,1.0,0.0,1.0,exact_true_distance,1.0,0.0,0.0,4.263256414560601e-14,0.0,0.0,1.4210854715202004e-14,0.0,1.0,1.0000000000000002,0.9999999999999998,5.908907870257041e-17,6.938893903907228e-18,3.1401849173675503e-16,-1.541626609121639e-17,2.7011936316376846e-17,3.121465642018263e-16,6.657320559851327e-17,2.220446049250313e-16,1.1102230246251565e-16,0.0
centered,0.0,0.0,horizontal,2,1.0,0.0,1.0,1.0,0.0,1.0,exact_distance_minus_5cm,1.0,0.0,0.08727532464108795,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.4444444444444444,0.6666666666666667,0.6666666666666666,0.2834887529302786,0.2865317909867572,0.5608353767286972,-0.2834887529302786,2.1165483933542125e-17,1.942890293094024e-16,0.33313503866745986,0.4659263352617378,0.4373146592980149,0.08727532464108795
