drift_path,drift_deg,gaze_az_deg,gaze_el_deg,median_abs_delta_po_deg,p90_abs_delta_po_deg,fraction_abs_delta_po_gt_threshold,median_signed_delta_po_deg,median_circular_variance_change,median_tuning_strength_change,median_abs_tuning_strength_change,condition,time_samples
azimuth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_simple_1_time,1
elevation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_simple_1_time,1
diagonal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_simple_1_time,1
azimuth,1.0,1.0,0.0,3.7607791678175744,23.624532183575717,0.21875,-0.2632190089713049,-0.005177082856122783,0.005177082856122783,0.03357645355830752,moving_simple_1_time,1
elevation,1.0,0.0,1.0,5.27006116167945,25.665281242967147,0.3,0.22717410865192278,-0.0037295022191324856,0.0037295022191324856,0.04261777972466729,moving_simple_1_time,1
diagonal,1.0,1.0,1.0,6.091628665872136,40.734972144746045,0.3875,0.02128521597234112,-0.0080468830881259,0.0080468830881259,0.049585802293883596,moving_simple_1_time,1
azimuth,2.0,2.0,0.0,6.51493769399049,37.43744040718733,0.36875,-0.0675649980577333,-0.0021364418249904538,0.0021364418249904538,0.058772471777773616,moving_simple_1_time,1
elevation,2.0,0.0,2.0,8.52337070368253,50.67123528082594,0.425,-0.4390824268990059,-0.00418172164489411,0.00418172164489411,0.07455833975583259,moving_simple_1_time,1
diagonal,2.0,2.0,2.0,10.05908933409188,68.51098925156163,0.475,0.1364299881218045,-0.00752821029976819,0.00752821029976819,0.08464339578179142,moving_simple_1_time,1
azimuth,3.0,3.0,0.0,12.092759349819673,44.29566967910235,0.5125,-0.17517103444197346,-0.012248673400213517,0.012248673400213517,0.06865026909267558,moving_simple_1_time,1
elevation,3.0,0.0,3.0,13.928691430064191,56.394220221547954,0.55625,0.3023375171265741,-0.012305703027948922,0.012305703027948922,0.08308449639178822,moving_simple_1_time,1
diagonal,3.0,3.0,3.0,15.390357225289819,59.96382314603251,0.59375,1.5076448653937078,-0.012219860990186238,0.012219860990186238,0.10327547056387537,moving_simple_1_time,1
azimuth,4.0,4.0,0.0,14.365435900867027,54.093111328298754,0.56875,-0.19346079034036734,-0.005805334253139394,0.005805334253139394,0.07885537647336499,moving_simple_1_time,1
elevation,4.0,0.0,4.0,17.36250615191605,50.912732612277765,0.6125,1.5159168609567644,-0.00010536403746908007,0.00010536403746908007,0.09946766785724376,moving_simple_1_time,1
diagonal,4.0,4.0,4.0,14.873535308953876,51.220544880555465,0.65,4.6079873584705595,-0.007187809705955839,0.007187809705955839,0.11121555622214324,moving_simple_1_time,1
azimuth,5.0,5.0,0.0,15.773876142594048,56.76897697213354,0.625,-0.413826041422638,-0.01352699887373221,0.01352699887373221,0.09662653704846857,moving_simple_1_time,1
elevation,5.0,0.0,5.0,17.136463987993878,50.64788808768354,0.6625,1.6847055732726233,-0.0004119343970375722,0.0004119343970375722,0.10283290130470968,moving_simple_1_time,1
diagonal,5.0,5.0,5.0,18.09715654450104,53.574006493905756,0.68125,5.0005658404541435,0.000531582147048737,-0.000531582147048737,0.12699721824666066,moving_simple_1_time,1
azimuth,6.0,6.0,0.0,17.21125691791505,54.40401797134244,0.63125,-0.3931637059789779,-0.008350705374528089,0.008350705374528089,0.11381469442017267,moving_simple_1_time,1
elevation,6.0,0.0,6.0,17.643562672095975,51.357489198554426,0.6875,1.3147576926438234,0.014293990622965436,-0.014293990622965436,0.12694345757847197,moving_simple_1_time,1
diagonal,6.0,6.0,6.0,17.154118273227454,44.211262510948,0.675,2.3913190862188713,-0.023972276166065898,0.023972276166065898,0.14089809882478221,moving_simple_1_time,1
azimuth,7.0,7.0,0.0,18.400111886223385,55.42624944733009,0.69375,-1.0690974655185528,-0.019627627073072418,0.019627627073072418,0.12033216628421911,moving_simple_1_time,1
elevation,7.0,0.0,7.0,16.816699140579125,42.78622475804886,0.675,0.850683617471816,-0.004015229016955668,0.004015229016955668,0.13169745792777454,moving_simple_1_time,1
diagonal,7.0,7.0,7.0,12.738148998564384,40.01935306717038,0.63125,0.1941155623570694,0.008950465127586793,-0.008950465127586793,0.12725969565392453,moving_simple_1_time,1
azimuth,8.0,8.0,0.0,18.640336661595867,52.211580419077244,0.6625,-1.4084088087103481,-0.03254427188892861,0.03254427188892861,0.11501808803811076,moving_simple_1_time,1
elevation,8.0,0.0,8.0,18.471497237814532,43.42240619664536,0.675,1.2360324858919682,0.00035934585828117926,-0.00035934585828117926,0.15586775128234354,moving_simple_1_time,1
diagonal,8.0,8.0,8.0,14.117556809564007,42.62556465821875,0.65625,2.557868712345197,0.010575143683406008,-0.010575143683406008,0.1329411534874415,moving_simple_1_time,1
azimuth,9.0,9.0,0.0,18.85202916714367,51.301333317954054,0.7125,1.5438276761179281,-0.03519971239259395,0.03519971239259395,0.11452812877542212,moving_simple_1_time,1
elevation,9.0,0.0,9.0,18.277446460255717,45.26885301717278,0.7125,1.6154776696941155,0.025015487301878858,-0.025015487301878858,0.1424966082476839,moving_simple_1_time,1
diagonal,9.0,9.0,9.0,15.98351221819351,46.38046168115283,0.7,-0.8643783930757394,-0.006264029974572927,0.006264029974572927,0.15489516948019144,moving_simple_1_time,1
azimuth,10.0,10.0,0.0,16.45483114386583,48.7850673778736,0.70625,0.08360229791145457,-0.03818568240697673,0.03818568240697673,0.11560022075237641,moving_simple_1_time,1
elevation,10.0,0.0,10.0,16.406462892576712,48.23155771891586,0.69375,-1.418475174315148,0.015659340256783894,-0.015659340256783894,0.138638061321598,moving_simple_1_time,1
diagonal,10.0,10.0,10.0,19.41963047647647,45.28123894695091,0.73125,2.774077176254025,-0.019007191212789598,0.019007191212789598,0.14563199325215392,moving_simple_1_time,1
azimuth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_simple_24_times,24
elevation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moving_simple_24_times,24
